system,lang,family,deter_global,deter_perlang,deter_oracle,gap_global_oracle,gap_closed_frac,rel_improvement,n_dev_sessions,overfit_flag,global_threshold,global_min_speech_s,global_min_silence_s,global_pad_s,best_threshold,best_min_speech_s,best_min_silence_s,best_pad_s,oracle_threshold,oracle_min_silence_s
energy,ta_in,Dravidian,0.3077918239294605,0.3077918239294605,0.3077918239294605,0.0,,0.0,8,False,0.2,0.0,0.35,0.0,0.2,0.0,0.35,0.0,0.2,0.35
energy,te_in,Dravidian,0.2397385964336141,0.23809004630389785,0.23809004630389785,0.0016485501297162364,1.0,0.006876448574573747,8,False,0.2,0.0,0.35,0.0,0.2,0.0,0.35,0.05,0.2,0.35
energy,ur_pk,Indo-Aryan,0.15595314307981645,0.12239037625237403,0.1207097195768666,0.035243423502949844,0.9523128995863084,0.2152105829009491,8,False,0.2,0.0,0.35,0.0,0.3,0.2,0.2,0.0,0.2,0.2
ltsd,as_in,Indo-Aryan,0.3654764904764908,0.35139203889203935,0.35139203889203935,0.01408445158445143,1.0,0.038537230031099386,8,False,0.2,0.0,0.5,0.05,0.2,0.0,0.5,0.2,0.2,0.5
ltsd,bn_in,Indo-Aryan,0.2599262936038866,0.26411863142891395,0.2599262936038866,0.0,,-0.016128948583463677,8,True,0.2,0.0,0.5,0.05,0.2,0.0,0.35,0.0,0.2,0.5
ltsd,gu_in,Indo-Aryan,0.28178704401040977,0.28178704401040977,0.2801509692914735,0.0016360747189362868,0.0,0.0,8,False,0.2,0.0,0.5,0.05,0.2,0.0,0.5,0.05,0.2,0.5
ltsd,hi_in,Indo-Aryan,0.43410346539621536,0.4203932044219327,0.4203932044219327,0.013710260974282684,1.0,0.0315829337178155,8,False,0.2,0.0,0.5,0.05,0.2,0.0,0.5,0.2,0.2,0.5
ltsd,kn_in,Dravidian,0.3663928265295002,0.3665612845567279,0.36505328077082033,0.0013395457586798942,-0.12575757575736743,-0.00045977435973104013,8,True,0.2,0.0,0.5,0.05,0.2,0.0,0.35,0.0,0.2,0.5
ltsd,ml_in,Dravidian,0.26841477208995557,0.2690810216186482,0.26841477208995557,0.0,,-0.0024821641652023846,8,True,0.2,0.0,0.5,0.05,0.2,0.0,0.35,0.05,0.2,0.5
ltsd,mr_in,Indo-Aryan,0.6097394388276245,0.6133331535352223,0.6097394388276245,0.0,,-0.005893853142430229,8,True,0.2,0.0,0.5,0.05,0.2,0.0,0.05,0.2,0.2,0.5
ltsd,ne_np,Indo-Aryan,0.4832088695350014,0.4846080472019421,0.4832088695350014,0.0,,-0.0028955959941032263,8,True,0.2,0.0,0.5,0.05,0.2,0.0,0.35,0.1,0.2,0.5
ltsd,or_in,Indo-Aryan,0.5677958804527639,0.5677958804527639,0.5673842649368807,0.00041161551588320133,0.0,0.0,8,False,0.2,0.0,0.5,0.05,0.2,0.0,0.5,0.05,0.2,0.5
ltsd,pa_in,Indo-Aryan,0.29841419639914324,0.29841419639914324,0.29683830648483867,0.0015758899143045735,0.0,0.0,8,False,0.2,0.0,0.5,0.05,0.2,0.0,0.5,0.05,0.2,0.5
ltsd,ta_in,Dravidian,0.46151799365989843,0.4555455574393956,0.4555455574393956,0.005972436220502808,1.0,0.012940852366644695,8,False,0.2,0.0,0.5,0.05,0.2,0.0,0.5,0.2,0.2,0.5
ltsd,te_in,Dravidian,0.30993924665856537,0.3062158878197757,0.30607730452201853,0.0038619421365468365,0.9641156462584672,0.012013189290904412,8,False,0.2,0.0,0.5,0.05,0.2,0.0,0.05,0.2,0.2,0.5
ltsd,ur_pk,Indo-Aryan,0.2170240712980153,0.21651245183685935,0.21579737748635752,0.0012266938116577697,0.41707185305233474,0.0023574318650274833,8,False,0.2,0.0,0.5,0.05,0.2,0.0,0.35,0.0,0.2,0.35
silero,as_in,Indo-Aryan,0.2043203605703608,0.20409854784854817,0.20409854784854817,0.00022181272181262535,1.0,0.0010856124235168467,8,False,0.5,0.0,0.1,0.0,0.5,0.0,0.05,0.0,0.5,0.05
silero,bn_in,Indo-Aryan,0.16593513135946894,0.16044018872936697,0.16044018872936697,0.005494942630101973,1.0,0.033115004550773264,8,False,0.5,0.0,0.1,0.0,0.7,0.0,0.1,0.0,0.7,0.1
silero,gu_in,Indo-Aryan,0.15583181151889317,0.15294914059710746,0.15236757233669201,0.003464239182201151,0.8321223709368937,0.018498603678467857,8,False,0.5,0.0,0.1,0.0,0.7,0.2,0.1,0.0,0.7,0.1
silero,hi_in,Indo-Aryan,0.25223618674371107,0.25223618674371107,0.25018618383871466,0.0020500029049964064,0.0,0.0,8,False,0.5,0.0,0.1,0.0,0.5,0.0,0.1,0.0,0.4,0.05
silero,kn_in,Dravidian,0.30640823807110773,0.3058771555354693,0.3058771555354693,0.0005310825356384385,1.0,0.0017332514914797786,8,False,0.5,0.0,0.1,0.0,0.6,0.0,0.1,0.0,0.6,0.1
silero,ml_in,Dravidian,0.22366726444430296,0.22116916656643615,0.22116916656643615,0.0024980978778668117,1.0,0.011168813121013877,8,False,0.5,0.0,0.1,0.0,0.4,0.0,0.05,0.0,0.4,0.05
silero,mr_in,Indo-Aryan,0.46396812179523816,0.4425312427308173,0.4425312427308173,0.021436879064420877,1.0,0.04620334470712097,8,False,0.5,0.0,0.1,0.0,0.2,0.05,0.05,0.0,0.2,0.05
silero,ne_np,Indo-Aryan,0.21150081441192883,0.21150081441192883,0.21108079485539205,0.0004200195565367826,0.0,0.0,8,False,0.5,0.0,0.1,0.0,0.5,0.0,0.1,0.0,0.4,0.1
silero,or_in,Indo-Aryan,0.5062492498290908,0.48209700818795154,0.48208591870495626,0.024163331124134546,0.9995410614977586,0.0477082023317428,8,False,0.5,0.0,0.1,0.0,0.2,0.05,0.05,0.0,0.2,0.05
silero,pa_in,Indo-Aryan,0.18915700189518794,0.18915700189518794,0.1884379377471984,0.0007190641479895565,0.0,0.0,8,False,0.5,0.0,0.1,0.0,0.5,0.0,0.1,0.0,0.4,0.1
silero,ta_in,Dravidian,0.3166885452828375,0.307105645862648,0.307105645862648,0.009582899420189528,1.0,0.03025969698913786,8,False,0.5,0.0,0.1,0.0,0.3,0.0,0.05,0.0,0.3,0.05
silero,te_in,Dravidian,0.22642540474861236,0.22642540474861236,0.22549275885849368,0.0009326458901186829,0.0,0.0,8,False,0.5,0.0,0.1,0.0,0.5,0.0,0.1,0.0,0.4,0.05
silero,ur_pk,Indo-Aryan,0.14514683876166865,0.14332237195264988,0.14265169980926926,0.0024951389523993894,0.7312084993360035,0.012569800517767687,8,False,0.5,0.0,0.1,0.0,0.7,0.0,0.1,0.0,0.6,0.05
webrtc,as_in,Indo-Aryan,0.36890015015015076,0.36314351939351974,0.36314351939351974,0.00575663075663102,1.0,0.015604847963027232,8,False,0.7,0.05,0.35,0.05,0.2,0.1,0.35,0.1,0.2,0.35
webrtc,bn_in,Indo-Aryan,0.3537455281954607,0.35441840583286477,0.35270115198269614,0.0010443762127645417,-0.6442866365396555,-0.0019021516422740312,8,True,0.7,0.05,0.35,0.05,0.8,0.0,0.35,0.05,0.2,0.35
webrtc,gu_in,Indo-Aryan,0.3337108890377026,0.3337108890377026,0.33264114787532145,0.0010697411623811215,0.0,0.0,8,False,0.7,0.05,0.35,0.05,0.7,0.05,0.35,0.05,0.8,0.35
webrtc,hi_in,Indo-Aryan,0.383831848264133,0.3756173116638237,0.3750105636220545,0.008821284642078542,0.9312177232242357,0.021401393963161916,8,False,0.7,0.05,0.35,0.05,0.2,0.1,0.35,0.1,0.2,0.5
webrtc,kn_in,Dravidian,0.31713407567621626,0.29249387563738305,0.289878378716647,0.027255696959569253,0.9040385235932205,0.07769647580851599,8,False,0.7,0.05,0.35,0.05,0.6,0.2,0.05,0.0,0.6,0.1
webrtc,ml_in,Dravidian,0.35641849660050556,0.35791249021910515,0.3559482028155458,0.00047029378495977436,-3.176724137928748,-0.004191683744949246,8,True,0.7,0.05,0.35,0.05,0.2,0.1,0.2,0.0,0.2,0.2
webrtc,mr_in,Indo-Aryan,0.4174831186431527,0.41302704725431344,0.41215390268652013,0.005329215956632549,0.8361589068826117,0.010673656466210577,8,False,0.7,0.05,0.35,0.05,0.2,0.1,0.05,0.2,0.2,0.5
webrtc,ne_np,Indo-Aryan,0.2992888955748831,0.2987683642068774,0.2984501877440813,0.0008387078308018103,0.6206349206350449,0.0017392271337224856,8,False,0.7,0.05,0.35,0.05,0.4,0.05,0.35,0.05,0.2,0.35
webrtc,or_in,Indo-Aryan,0.504152685220458,0.4848772068071154,0.4848772068071154,0.019275478413342595,1.0,0.038233414158874775,8,False,0.7,0.05,0.35,0.05,0.2,0.1,0.05,0.2,0.2,0.05
webrtc,pa_in,Indo-Aryan,0.23052024967040213,0.20264476557350022,0.20264476557350022,0.02787548409690191,1.0,0.12092423176167073,8,False,0.7,0.05,0.35,0.05,0.6,0.2,0.1,0.0,0.6,0.1
webrtc,ta_in,Dravidian,0.33414119277016013,0.33495910129679135,0.33247522844748756,0.001665964322672575,-0.49095200629453506,-0.002447793161478948,8,True,0.7,0.05,0.35,0.05,0.2,0.1,0.35,0.0,0.8,0.5
webrtc,te_in,Dravidian,0.3642310597353123,0.3582240320514918,0.3582240320514918,0.006007027683820498,1.0,0.016492354298905266,8,False,0.7,0.05,0.35,0.05,0.2,0.1,0.35,0.1,0.2,0.35
webrtc,ur_pk,Indo-Aryan,0.3337395803925151,0.3340523840008902,0.33235913565470704,0.001380444737808073,-0.22659625540083778,-0.0009372685373643984,8,True,0.7,0.05,0.35,0.05,0.8,0.0,0.35,0.05,0.2,0.2
