system,target,predictor,controls_language,coef,se,t,p_value,model_r2,vif,collinearity_warning,n_distinct_density_profiles,n_languages,n,p_value_bh
energy,offset_mad_s,breathy_density,True,0.0031816032823107866,0.0018870768853034622,1.6859955771219945,0.09183282466529641,0.14173047385499316,2.565574095755205,False,240,12,8640,0.5211930090256119
energy,offset_mad_s,aspirate_density,True,-0.0032095964694901567,0.0024941886449246996,-1.2868298779329321,0.19818812996581103,0.14173047385499316,2.651745715846687,False,240,12,8640,0.5750925986145669
energy,offset_mad_s,retroflex_density,True,0.0006550620925317948,0.00141770078216201,0.46205948446527456,0.6440503193430533,0.14173047385499316,1.1030121881687547,False,240,12,8640,0.8982948858348815
energy,offset_mad_s,geminate_density,True,0.00034381323150349486,0.0007226171312634092,0.47578892975091636,0.6342368089689416,0.14173047385499316,1.0071257930935693,False,240,12,8640,0.8982948858348815
ltsd,offset_mad_s,breathy_density,True,0.0010426121427910742,0.003312037004687223,0.31479483511674555,0.7529250491915478,0.049599778501365654,2.565574095755205,False,240,12,8640,0.9126364232624822
ltsd,offset_mad_s,aspirate_density,True,0.00013235112550422825,0.004377587979057278,0.030233801385010733,0.9758812908491801,0.049599778501365654,2.651745715846687,False,240,12,8640,0.9758812908491802
ltsd,offset_mad_s,retroflex_density,True,-0.0029263850147627966,0.0024882279512101137,-1.1760920109186908,0.23959057402859218,0.049599778501365654,1.1030121881687547,False,240,12,8640,0.5916153901748539
ltsd,offset_mad_s,geminate_density,True,0.0014645886485027105,0.0012682761882171333,1.1547868375275117,0.24820972487519644,0.049599778501365654,1.0071257930935693,False,240,12,8640,0.5916153901748539
silero,offset_mad_s,breathy_density,True,-0.0017495212935385253,0.00663289460997753,-0.26376437383865686,0.7919679978493439,0.006821831859362137,2.546317315022366,False,240,12,8365,0.923654862024381
silero,offset_mad_s,aspirate_density,True,-0.01250663067243649,0.008747894049176587,-1.4296733136146866,0.15284821991576392,0.006821831859362137,2.6315914958294764,False,240,12,8365,0.5567791201023239
silero,offset_mad_s,retroflex_density,True,0.00994469574006485,0.004997656094240919,1.9898719624835095,0.04663760473880618,0.006821831859362137,1.1028737423401127,False,240,12,8365,0.37310083791044946
silero,offset_mad_s,geminate_density,True,0.0034927803788455205,0.0025479427686631545,1.3708237177862908,0.17046676447007658,0.006821831859362137,1.0074030606810855,False,240,12,8365,0.5567791201023239
webrtc,offset_mad_s,breathy_density,True,0.0011436245099659306,0.004880656228500705,0.23431777540235446,0.814743934076938,0.10862495073072775,2.55855378565133,False,240,12,8511,0.9260155029078736
webrtc,offset_mad_s,aspirate_density,True,-0.011672049641111902,0.006452973414043916,-1.8087862590150239,0.0705195560190226,0.10862495073072775,2.645875665905198,False,240,12,8511,0.4339664985786006
webrtc,offset_mad_s,retroflex_density,True,0.0014071352526487048,0.003656997644689925,0.3847788238780818,0.7004109219409715,0.10862495073072775,1.1053499432039384,False,240,12,8511,0.9037560283109309
webrtc,offset_mad_s,geminate_density,True,0.0021402474409925733,0.0018660414622198981,1.1469452765784054,0.2514365408243129,0.10862495073072775,1.0071665246741726,False,240,12,8511,0.5916153901748539
energy,onset_mad_s,breathy_density,False,0.005238428153444875,0.0009150215578637187,5.724923209104408,1.0694083618645323e-08,0.012593605262105068,2.565574095755205,False,240,12,8640,
energy,onset_mad_s,aspirate_density,False,-0.002334398596936817,0.0009302613620389885,-2.5094007901394266,0.012111776114565043,0.012593605262105068,2.651745715846687,False,240,12,8640,
energy,onset_mad_s,retroflex_density,False,0.005145996660389637,0.0005999695382386026,8.577096556430703,0.0,0.012593605262105068,1.1030121881687547,False,240,12,8640,
energy,onset_mad_s,geminate_density,False,-0.001447752496889742,0.0005732986307295301,-2.525302554878699,0.011577620717321269,0.012593605262105068,1.0071257930935693,False,240,12,8640,
ltsd,onset_mad_s,breathy_density,False,-0.0011840305364411135,0.0013299350873704602,-0.8902919756648963,0.37333393213307575,0.0008803179452072651,2.565574095755205,False,240,12,8640,
ltsd,onset_mad_s,aspirate_density,False,6.534694242878706e-05,0.001352085330851789,0.04833048694317221,0.9614539756037837,0.0008803179452072651,2.651745715846687,False,240,12,8640,
ltsd,onset_mad_s,retroflex_density,False,0.0016016167428411668,0.0008720237609700243,1.8366664012223197,0.06629351058529043,0.0008803179452072651,1.1030121881687547,False,240,12,8640,
ltsd,onset_mad_s,geminate_density,False,-0.0009332931612622156,0.000833259017775186,-1.120051678233405,0.2627228923000233,0.0008803179452072651,1.0071257930935693,False,240,12,8640,
silero,onset_mad_s,breathy_density,False,0.0025351314709532993,0.004102162191619166,0.6179988387910758,0.5365924612612365,0.0005819497935531937,2.563478445502736,False,240,12,8609,
silero,onset_mad_s,aspirate_density,False,-0.006349725434240405,0.004170206297072085,-1.5226406038230214,0.12788539562365187,0.0005819497935531937,2.649226523755829,False,240,12,8609,
silero,onset_mad_s,retroflex_density,False,-0.0005602044494554896,0.0026905358762618205,-0.20821296396680167,0.8350676149400778,0.0005819497935531937,1.1027614857625336,False,240,12,8609,
silero,onset_mad_s,geminate_density,False,-0.0037091742622555814,0.002571254161186515,-1.4425545005414668,0.1491824092174514,0.0005819497935531937,1.0071497055898915,False,240,12,8609,
webrtc,onset_mad_s,breathy_density,False,-0.010693530369434233,0.003636356047741514,-2.940726988512531,0.0032831263852259873,0.024413221862224055,2.564856390377679,False,240,12,8632,
webrtc,onset_mad_s,aspirate_density,False,-0.012094283050718947,0.003696656291413127,-3.271681784106481,0.0010732988728194837,0.024413221862224055,2.6506256648972486,False,240,12,8632,
webrtc,onset_mad_s,retroflex_density,False,-0.03239620129160388,0.0023842688663374407,-13.587478219840543,0.0,0.024413221862224055,1.102657686824529,False,240,12,8632,
webrtc,onset_mad_s,geminate_density,False,-0.0015025678726869052,0.0022786590881375014,-0.659408807798034,0.5096508889457303,0.024413221862224055,1.0071379560772964,False,240,12,8632,
energy,onset_mad_s,breathy_density,True,-0.0047023922944910155,0.0014143526463860894,-3.3247664975962143,0.0008886180609557481,0.1544321944480994,2.565574095755205,False,240,12,8640,0.035544722438229925
energy,onset_mad_s,aspirate_density,True,0.0026031095012984855,0.0018693792171420175,1.3924994337308534,0.1638071135775241,0.1544321944480994,2.651745715846687,False,240,12,8640,0.5567791201023239
energy,onset_mad_s,retroflex_density,True,0.0025253162008453574,0.0010625581123113706,2.3766382013234697,0.01749291253962948,0.1544321944480994,1.1030121881687547,False,240,12,8640,0.19991900045290834
energy,onset_mad_s,geminate_density,True,-0.00018743474494359254,0.0005415971441788778,-0.3460777940913346,0.7292926935045021,0.1544321944480994,1.0071257930935693,False,240,12,8640,0.9126364232624822
ltsd,onset_mad_s,breathy_density,True,-0.0004602531141469075,0.002188227649669555,-0.21033145898527078,0.8334139526170863,0.030514383828368352,2.565574095755205,False,240,12,8640,0.9260155029078736
ltsd,onset_mad_s,aspirate_density,True,-0.0019232487899278413,0.0028922258540824567,-0.6649718545365751,0.5060862766902918,0.030514383828368352,2.651745715846687,False,240,12,8640,0.8614234496856031
ltsd,onset_mad_s,retroflex_density,True,-0.002658127815114183,0.0016439457632306219,-1.6169194109485265,0.10593225222894698,0.030514383828368352,1.1030121881687547,False,240,12,8640,0.5211930090256119
ltsd,onset_mad_s,geminate_density,True,0.00038055372984882124,0.0008379365986994241,0.45415575646115147,0.6497281541426969,0.030514383828368352,1.0071257930935693,False,240,12,8640,0.8982948858348815
silero,onset_mad_s,breathy_density,True,-0.0034112928141575667,0.0068242502473558194,-0.4998780364889659,0.6171737579880818,0.009608997771891947,2.563478445502736,False,240,12,8609,0.8982948858348815
silero,onset_mad_s,aspirate_density,True,0.001039417734576477,0.009019579229359823,0.11524015789927833,0.9082574619322115,0.009608997771891947,2.649226523755829,False,240,12,8609,0.9507910025513355
silero,onset_mad_s,retroflex_density,True,0.005980841803379086,0.005121836750495587,1.167714258522664,0.24295444240445807,0.009608997771891947,1.1027614857625336,False,240,12,8609,0.5916153901748539
silero,onset_mad_s,geminate_density,True,-0.0008631196599301775,0.00261298426526155,-0.33031950150062706,0.7411666118372962,0.009608997771891947,1.0071497055898915,False,240,12,8609,0.9126364232624822
webrtc,onset_mad_s,breathy_density,True,-0.0058298999216133025,0.005735741916957574,-1.0164160113929381,0.3094598643909525,0.13042125606043842,2.564856390377679,False,240,12,8632,0.6668134876066166
webrtc,onset_mad_s,aspirate_density,True,-0.004576444515427083,0.007581309392535583,-0.6036482985291387,0.5460933858331569,0.13042125606043842,2.6506256648972486,False,240,12,8632,0.8982948858348815
webrtc,onset_mad_s,retroflex_density,True,-0.0009463350493738568,0.004309955782049323,-0.21956954948709193,0.8262116100564922,0.13042125606043842,1.102657686824529,False,240,12,8632,0.9260155029078736
webrtc,onset_mad_s,geminate_density,True,0.001040155413456686,0.002196489964580485,0.4735534558453349,0.6358303709707205,0.13042125606043842,1.0071379560772964,False,240,12,8632,0.8982948858348815
energy,segment_count_ratio,breathy_density,False,-1.0519172100860912,0.09596288263435622,-10.961709165138066,0.0,0.021746931079352216,2.565574095755205,False,240,12,8640,
energy,segment_count_ratio,aspirate_density,False,0.8085003786792205,0.09756115704316508,8.287113469979724,2.220446049250313e-16,0.021746931079352216,2.651745715846687,False,240,12,8640,
energy,segment_count_ratio,retroflex_density,False,-0.5209645766813986,0.06292180319401282,-8.27955573801753,2.220446049250313e-16,0.021746931079352216,1.1030121881687547,False,240,12,8640,
energy,segment_count_ratio,geminate_density,False,0.012946215201236018,0.06012469186363027,0.21532277006258135,0.829520763319237,0.021746931079352216,1.0071257930935693,False,240,12,8640,
ltsd,segment_count_ratio,breathy_density,False,-0.40337431765422044,0.023023772781884992,-17.51990525078469,0.0,0.04090520206866366,2.565574095755205,False,240,12,8640,
ltsd,segment_count_ratio,aspirate_density,False,0.27592335373246973,0.023407236740254477,11.787950743367839,0.0,0.04090520206866366,2.651745715846687,False,240,12,8640,
ltsd,segment_count_ratio,retroflex_density,False,-0.11936003217633788,0.015096433746007337,-7.9065052173600865,2.886579864025407e-15,0.04090520206866366,1.1030121881687547,False,240,12,8640,
ltsd,segment_count_ratio,geminate_density,False,0.022480001201640183,0.014425340361268729,1.5583688591499574,0.11918248142073362,0.04090520206866366,1.0071257930935693,False,240,12,8640,
silero,segment_count_ratio,breathy_density,False,-0.03363801711001136,0.007281524836134931,-4.619639136995183,3.899747742952542e-06,0.01689777142683735,2.565574095755205,False,240,12,8640,
silero,segment_count_ratio,aspirate_density,False,0.010626603958330209,0.0074027995882392835,1.4354844855198479,0.1511853069046185,0.01689777142683735,2.651745715846687,False,240,12,8640,
silero,segment_count_ratio,retroflex_density,False,-0.053866655629393675,0.0047744154835087016,-11.28235609478362,0.0,0.01689777142683735,1.1030121881687547,False,240,12,8640,
silero,segment_count_ratio,geminate_density,False,0.007246768250148658,0.004562174718511891,1.5884460147358053,0.11222213090100142,0.01689777142683735,1.0071257930935693,False,240,12,8640,
webrtc,segment_count_ratio,breathy_density,False,-0.09521385362952724,0.028283086548908647,-3.3664590837664865,0.0007647215380530703,0.017019888548911788,2.565574095755205,False,240,12,8640,
webrtc,segment_count_ratio,aspirate_density,False,0.23118653832232722,0.028754145068539474,8.04011170463466,1.1102230246251565e-15,0.017019888548911788,2.651745715846687,False,240,12,8640,
webrtc,segment_count_ratio,retroflex_density,False,0.1900703732712393,0.01854490774657626,10.249194866247306,0.0,0.017019888548911788,1.1030121881687547,False,240,12,8640,
webrtc,segment_count_ratio,geminate_density,False,-0.00608733286782809,0.01772051669378165,-0.34351892628301356,0.7312164683741913,0.017019888548911788,1.0071257930935693,False,240,12,8640,
energy,segment_count_ratio,breathy_density,True,-0.553241183726796,0.15625424956532372,-3.5406472800953024,0.0004012519648903812,0.07037442211560396,2.565574095755205,False,240,12,8640,0.032100157191230494
energy,segment_count_ratio,aspirate_density,True,-0.015829490039764277,0.20652448134056192,-0.07664703930988798,0.9389061150194438,0.07037442211560396,2.651745715846687,False,240,12,8640,0.9507910025513355
energy,segment_count_ratio,retroflex_density,True,0.03024993003434432,0.1173888427917839,0.2576899926341341,0.7966523184960286,0.07037442211560396,1.1030121881687547,False,240,12,8640,0.923654862024381
energy,segment_count_ratio,geminate_density,True,0.005970708339320939,0.05983433873201916,0.09978732055621153,0.9205154939638509,0.07037442211560396,1.0071257930935693,False,240,12,8640,0.9507910025513355
ltsd,segment_count_ratio,breathy_density,True,-0.10286016343766424,0.03346916910935704,-3.0732810576079537,0.0021237981031656528,0.2735626640905262,2.565574095755205,False,240,12,8640,0.042475962063313055
ltsd,segment_count_ratio,aspirate_density,True,0.017139339115809,0.04423689474326777,0.38744444462656064,0.698436767345886,0.2735626640905262,2.651745715846687,False,240,12,8640,0.9037560283109309
ltsd,segment_count_ratio,retroflex_density,True,-0.031134776449014488,0.025144321142494257,-1.238242872916393,0.21565972448046256,0.2735626640905262,1.1030121881687547,False,240,12,8640,0.5750925986145669
ltsd,segment_count_ratio,geminate_density,True,-0.013804102096094461,0.012816327281590451,-1.0770715972525813,0.2814784084320636,0.2735626640905262,1.0071257930935693,False,240,12,8640,0.6433792192732882
silero,segment_count_ratio,breathy_density,True,-0.012131525221844007,0.011683608823214838,-1.038337161523174,0.29914222444289273,0.09279012808603504,2.565574095755205,False,240,12,8640,0.6647604987619838
silero,segment_count_ratio,aspirate_density,True,-0.008502428043570305,0.015442468023192534,-0.5505873821982852,0.5819308216108343,0.09279012808603504,2.651745715846687,False,240,12,8640,0.8982948858348815
silero,segment_count_ratio,retroflex_density,True,0.006148823416488649,0.00877752331987416,0.7005191774958226,0.48362203111682356,0.09279012808603504,1.1030121881687547,False,240,12,8640,0.8434789176692661
silero,segment_count_ratio,geminate_density,True,-0.0031242495491042178,0.004473996770554304,-0.6983128753392328,0.48500037765982795,0.09279012808603504,1.0071257930935693,False,240,12,8640,0.8434789176692661
webrtc,segment_count_ratio,breathy_density,True,-0.12683820579374247,0.04389448926146829,-2.889615710942656,0.0038667449645719554,0.1513846811550248,2.565574095755205,False,240,12,8640,0.061867919433151286
webrtc,segment_count_ratio,aspirate_density,True,0.10732825922094995,0.0580162565411942,1.8499687091107293,0.06435224497747738,0.1513846811550248,2.651745715846687,False,240,12,8640,0.4339664985786006
webrtc,segment_count_ratio,retroflex_density,True,0.010630720713607279,0.0329765322458382,0.32237230507913484,0.7471784769609264,0.1513846811550248,1.1030121881687547,False,240,12,8640,0.9126364232624822
webrtc,segment_count_ratio,geminate_density,True,0.002841466924769155,0.01680848838508983,0.16904952186478064,0.8657616537830353,0.1513846811550248,1.0071257930935693,False,240,12,8640,0.9359585446303085
energy,p_miss,breathy_density,False,0.033326348092334736,0.002817888275111323,11.826710230737643,0.0,0.033609226321137387,2.565574095755205,False,240,12,8640,
energy,p_miss,aspirate_density,False,-0.012306129198391693,0.0028648205742811328,-4.295602073257122,1.7612763614671678e-05,0.033609226321137387,2.651745715846687,False,240,12,8640,
energy,p_miss,retroflex_density,False,0.021572785640027625,0.001847658246624955,11.675744515758685,0.0,0.033609226321137387,1.1030121881687547,False,240,12,8640,
energy,p_miss,geminate_density,False,-0.005970207149917244,0.0017655228729711817,-3.3815518571390917,0.0007239745125913188,0.033609226321137387,1.0071257930935693,False,240,12,8640,
ltsd,p_miss,breathy_density,False,0.026303264210683835,0.003568147312002188,7.371686735636577,1.8407497748285095e-13,0.010370191190690048,2.565574095755205,False,240,12,8640,
ltsd,p_miss,aspirate_density,False,-0.010171954710984591,0.003627575273929537,-2.804064407453609,0.0050575498345764025,0.010370191190690048,2.651745715846687,False,240,12,8640,
ltsd,p_miss,retroflex_density,False,0.010892103132862437,0.0023395948180142297,4.655551059096331,3.2793640547534864e-06,0.010370191190690048,1.1030121881687547,False,240,12,8640,
ltsd,p_miss,geminate_density,False,-0.0048502730282379315,0.0022355910094489563,-2.169570823884043,0.030066558692416923,0.010370191190690048,1.0071257930935693,False,240,12,8640,
silero,p_miss,breathy_density,False,0.04597387561154847,0.0037940831048514354,12.1172558273071,0.0,0.04927828706050419,2.565574095755205,False,240,12,8640,
silero,p_miss,aspirate_density,False,-0.038508431043077176,0.0038572740570707795,-9.983327726607154,0.0,0.04927828706050419,2.651745715846687,False,240,12,8640,
silero,p_miss,retroflex_density,False,0.04048709391037154,0.002487738424186539,16.274658748984166,0.0,0.04927828706050419,1.1030121881687547,False,240,12,8640,
silero,p_miss,geminate_density,False,-0.006248065306980893,0.002377149073912129,-2.6283859836767864,0.00859429602975359,0.04927828706050419,1.0071257930935693,False,240,12,8640,
webrtc,p_miss,breathy_density,False,0.034285405053856015,0.00473140075041912,7.246354063502002,4.649614027130156e-13,0.0626739781272535,2.565574095755205,False,240,12,8640,
webrtc,p_miss,aspirate_density,False,0.0231149495736173,0.004810202851081595,4.805400164864108,1.5704700120355852e-06,0.0626739781272535,2.651745715846687,False,240,12,8640,
webrtc,p_miss,retroflex_density,False,0.06348082471349717,0.003102327261095554,20.462323723732354,0.0,0.0626739781272535,1.1030121881687547,False,240,12,8640,
webrtc,p_miss,geminate_density,False,0.0014676255940206232,0.002964417120379963,0.4950806632207383,0.6205557797660561,0.0626739781272535,1.0071257930935693,False,240,12,8640,
energy,p_miss,breathy_density,True,0.006011605094149495,0.004292560948685234,1.4004705270383608,0.16140844010565214,0.19621866566069268,2.565574095755205,False,240,12,8640,0.5567791201023239
energy,p_miss,aspirate_density,True,0.018050557962253796,0.005673566805486144,3.18151853694567,0.001470244907445295,0.19621866566069268,2.651745715846687,False,240,12,8640,0.03920653086520787
energy,p_miss,retroflex_density,True,0.0044441121071943515,0.0032248643718883396,1.3780772133967525,0.16821520293186287,0.19621866566069268,1.1030121881687547,False,240,12,8640,0.5567791201023239
energy,p_miss,geminate_density,True,-0.002078961529831089,0.0016437475879598018,-1.264769326543298,0.20598820627429038,0.19621866566069268,1.0071257930935693,False,240,12,8640,0.5750925986145669
ltsd,p_miss,breathy_density,True,0.008565626006674248,0.005441285214579651,1.574191697160642,0.11547982024526027,0.17512158582823967,2.565574095755205,False,240,12,8640,0.5211930090256119
ltsd,p_miss,aspirate_density,True,0.011266043923764414,0.007191859484738888,1.5664994495055051,0.11726842703076268,0.17512158582823967,2.651745715846687,False,240,12,8640,0.5211930090256119
ltsd,p_miss,retroflex_density,True,0.0038436853251160494,0.004087864339155232,0.9402673391823853,0.34710678334093537,0.17512158582823967,1.1030121881687547,False,240,12,8640,0.6919465622708569
ltsd,p_miss,geminate_density,True,0.0033363935290515643,0.0020836278281863695,1.6012425462543503,0.10935983531541793,0.17512158582823967,1.0071257930935693,False,240,12,8640,0.5211930090256119
silero,p_miss,breathy_density,True,0.0023982576025306196,0.005488468102971445,0.4369630209260409,0.6621491068050451,0.28691423951577,2.565574095755205,False,240,12,8640,0.8982948858348815
silero,p_miss,aspirate_density,True,0.01601884593612001,0.007254222086590501,2.208210025128815,0.0272558485397163,0.28691423951577,2.651745715846687,False,240,12,8640,0.272558485397163
silero,p_miss,retroflex_density,True,-0.0033012301030276915,0.004123311340969868,-0.8006259605541186,0.4233702720439807,0.28691423951577,1.1030121881687547,False,240,12,8640,0.7876656224074059
silero,p_miss,geminate_density,True,0.0005878800852851502,0.0021016955411237346,0.27971705405570896,0.7797013014314871,0.28691423951577,1.0071257930935693,False,240,12,8640,0.923654862024381
webrtc,p_miss,breathy_density,True,0.0032290838824072404,0.007397848572158564,0.43648958895424506,0.6624924783032251,0.17866218011733903,2.565574095755205,False,240,12,8640,0.8982948858348815
webrtc,p_miss,aspirate_density,True,0.008529525547357393,0.009777889840764529,0.8723278423323364,0.3830538383544393,0.17866218011733903,2.651745715846687,False,240,12,8640,0.7296263587703605
webrtc,p_miss,retroflex_density,True,0.005144881497715632,0.0055577680955901975,0.9257099989108633,0.35462261316381416,0.17866218011733903,1.1030121881687547,False,240,12,8640,0.6919465622708569
webrtc,p_miss,geminate_density,True,0.0005330407317383167,0.0028328533693393557,0.1881638977532487,0.85075259950899,0.17866218011733903,1.0071257930935693,False,240,12,8640,0.9323316159002629
energy,deter,breathy_density,False,0.03508528774039044,0.002683124326685691,13.076281032317754,0.0,0.03763693891609732,2.565574095755205,False,240,12,8640,
energy,deter,aspirate_density,False,-0.014762448281679505,0.0027278121146019213,-5.411827377206967,6.405682539956103e-08,0.03763693891609732,2.651745715846687,False,240,12,8640,
energy,deter,retroflex_density,False,0.021237267585101957,0.0017592950127609283,12.071464666846015,0.0,0.03763693891609732,1.1030121881687547,False,240,12,8640,
energy,deter,geminate_density,False,-0.0058076729995346545,0.0016810877179301385,-3.454711457106729,0.0005535292720706408,0.03763693891609732,1.0071257930935693,False,240,12,8640,
ltsd,deter,breathy_density,False,0.026766402974421642,0.003371288730971876,7.939516638999181,2.220446049250313e-15,0.011784877930022253,2.565574095755205,False,240,12,8640,
ltsd,deter,aspirate_density,False,-0.010689701248489846,0.003427437987387491,-3.1188605856113236,0.0018214922038455317,0.011784877930022253,2.651745715846687,False,240,12,8640,
ltsd,deter,retroflex_density,False,0.010659108070712664,0.00221051681876489,4.82199817718119,1.4455649459677034e-06,0.011784877930022253,1.1030121881687547,False,240,12,8640,
ltsd,deter,geminate_density,False,-0.005152428745155501,0.002112251013814837,-2.439307029068454,0.014735454364845246,0.011784877930022253,1.0071257930935693,False,240,12,8640,
silero,deter,breathy_density,False,0.04506329930842824,0.003456978157914183,13.035459655787303,0.0,0.0493112349575795,2.565574095755205,False,240,12,8640,
silero,deter,aspirate_density,False,-0.038323591289464956,0.0035145545829853,-10.904252696770609,0.0,0.0493112349575795,2.651745715846687,False,240,12,8640,
silero,deter,retroflex_density,False,0.035074426745067444,0.0022667024304290945,15.473767652169384,0.0,0.0493112349575795,1.1030121881687547,False,240,12,8640,
silero,deter,geminate_density,False,-0.006423929467522728,0.0021659389632536627,-2.9658866553989744,0.0030263777553289906,0.0493112349575795,1.0071257930935693,False,240,12,8640,
webrtc,deter,breathy_density,False,0.030400369634032472,0.004080733095129816,7.449732419479735,1.0258460747536446e-13,0.03880479754251065,2.565574095755205,False,240,12,8640,
webrtc,deter,aspirate_density,False,0.006771694727041826,0.004148698240570229,1.6322456670435188,0.1026642068819632,0.03880479754251065,2.651745715846687,False,240,12,8640,
webrtc,deter,retroflex_density,False,0.04202199677473185,0.0026756916596326424,15.70509689464788,0.0,0.03880479754251065,1.1030121881687547,False,240,12,8640,
webrtc,deter,geminate_density,False,-0.0005902160527930171,0.0025567470795688483,-0.23084647578537448,0.8174395427752796,0.03880479754251065,1.0071257930935693,False,240,12,8640,
energy,deter,breathy_density,True,0.007387527504180287,0.00405412102263168,1.822226683155297,0.06845521334174887,0.2125000945458141,2.565574095755205,False,240,12,8640,0.4339664985786006
energy,deter,aspirate_density,True,0.014442559615350606,0.005358415811538263,2.69530400836969,0.007046079713112441,0.2125000945458141,2.651745715846687,False,240,12,8640,0.09394772950816588
energy,deter,retroflex_density,True,0.002997443559894883,0.0030457320470226182,0.984145523512175,0.3250715752082256,0.2125000945458141,1.1030121881687547,False,240,12,8640,0.6668134876066166
energy,deter,geminate_density,True,-0.0020770649332174794,0.0015524419412819399,-1.3379340495673084,0.18095321403325526,0.2125000945458141,1.0071257930935693,False,240,12,8640,0.5567791201023239
ltsd,deter,breathy_density,True,0.010540484551904213,0.0051263802203205784,2.0561261745905113,0.03980038451681667,0.18100553347801718,2.565574095755205,False,240,12,8640,0.353781195705037
ltsd,deter,aspirate_density,True,0.009686824251187385,0.006775643024758906,1.4296538669157628,0.15285261072193013,0.18100553347801718,2.651745715846687,False,240,12,8640,0.5567791201023239
ltsd,deter,retroflex_density,True,0.001518287725428321,0.0038512862430825764,0.3942287406331763,0.6934219160790733,0.18100553347801718,1.1030121881687547,False,240,12,8640,0.9037560283109309
ltsd,deter,geminate_density,True,0.002657297487377894,0.001963041462392684,1.3536634545349873,0.1758792475577955,0.18100553347801718,1.0071257930935693,False,240,12,8640,0.5567791201023239
silero,deter,breathy_density,True,0.004940071834635339,0.00500270220403919,0.9874806920641241,0.32343474731488686,0.2864011617243546,2.565574095755205,False,240,12,8640,0.6668134876066166
silero,deter,aspirate_density,True,0.008270071962418852,0.00661217522636751,1.250733938423185,0.21106549570861333,0.2864011617243546,2.651745715846687,False,240,12,8640,0.5750925986145669
silero,deter,retroflex_density,True,-0.001772274464988004,0.0037583708871774175,-0.4715539041222735,0.6372571646638638,0.2864011617243546,1.1030121881687547,False,240,12,8640,0.8982948858348815
silero,deter,geminate_density,True,-0.00014818690517968367,0.0019156815196041137,-0.07735466655767882,0.9383431980163759,0.2864011617243546,1.0071257930935693,False,240,12,8640,0.9507910025513355
webrtc,deter,breathy_density,True,0.003742576904028149,0.0065788380489464485,0.5688811422599914,0.5694516177944327,0.10456648343065778,2.565574095755205,False,240,12,8640,0.8982948858348815
webrtc,deter,aspirate_density,True,0.006096828636781638,0.00869538665131923,0.7011567031187338,0.48322414503942235,0.10456648343065778,2.651745715846687,False,240,12,8640,0.8434789176692661
