session_id,lang,source,duration_s,n_segments,speech_s
real_mr_in_006,mr_in,real_indicvoices,6.329,3.0,5.38953
real_mr_in_007,mr_in,real_indicvoices,1.655,1.0,1.655
real_mr_in_008,mr_in,real_indicvoices,1.944,1.0,1.944
real_mr_in_009,mr_in,real_indicvoices,2.457,2.0,1.6933374999999997
real_mr_in_010,mr_in,real_indicvoices,1.536,1.0,1.2199415
real_mr_in_011,mr_in,real_indicvoices,3.104,1.0,3.104
real_mr_in_012,mr_in,real_indicvoices,1.809,1.0,1.809
real_mr_in_013,mr_in,real_indicvoices,2.176,2.0,1.230382
real_mr_in_014,mr_in,real_indicvoices,2.057,1.0,2.057
real_mr_in_015,mr_in,real_indicvoices,1.048,1.0,1.048
real_mr_in_016,mr_in,real_indicvoices,5.152,2.5,4.771834999999999
real_mr_in_017,mr_in,real_indicvoices,11.258,3.5,9.4147205
real_mr_in_018,mr_in,real_indicvoices,1.864,1.5,1.2410625
real_gu_in_000,gu_in,real_indicvoices,1.296,1.0,0.5162295
real_gu_in_001,gu_in,real_indicvoices,17.305,5.0,15.827991999999998
real_gu_in_002,gu_in,real_indicvoices,2.079,2.0,1.1008110000000002
real_gu_in_003,gu_in,real_indicvoices,6.208,2.0,5.987192500000001
real_gu_in_004,gu_in,real_indicvoices,9.664,2.0,8.945799000000001
real_gu_in_005,gu_in,real_indicvoices,6.303,2.0,6.0343535
real_gu_in_006,gu_in,real_indicvoices,5.729,3.0,4.5188085
real_gu_in_007,gu_in,real_indicvoices,10.528,3.0,9.7489715
real_gu_in_008,gu_in,real_indicvoices,2.368,1.0,2.368
real_gu_in_009,gu_in,real_indicvoices,16.575,4.0,15.344440000000002
real_pa_in_000,pa_in,real_indicvoices,5.913,2.0,5.4453295
real_pa_in_001,pa_in,real_indicvoices,18.283,11.0,14.764009
real_pa_in_002,pa_in,real_indicvoices,20.0,15.5,15.348553499999998
real_pa_in_003,pa_in,real_indicvoices,5.832,2.0,4.962063
real_pa_in_004,pa_in,real_indicvoices,8.126,3.5,7.303585499999999
real_pa_in_005,pa_in,real_indicvoices,15.285,6.5,12.901409
real_pa_in_006,pa_in,real_indicvoices,10.288,4.5,8.177027000000002
real_or_in_000,or_in,real_indicvoices,11.871,4.5,10.813025499999998
real_or_in_001,or_in,real_indicvoices,4.865,3.5,3.7441630000000004
real_or_in_002,or_in,real_indicvoices,1.409,1.0,1.409
real_or_in_003,or_in,real_indicvoices,1.601,1.5,1.487976
real_or_in_004,or_in,real_indicvoices,1.12,1.0,1.12
real_or_in_005,or_in,real_indicvoices,1.121,1.0,1.121
real_or_in_006,or_in,real_indicvoices,2.464,2.0,1.735445
real_or_in_007,or_in,real_indicvoices,1.313,1.0,1.313
real_or_in_008,or_in,real_indicvoices,2.464,2.0,2.963057
real_or_in_009,or_in,real_indicvoices,1.601,1.0,1.601
real_or_in_011,or_in,real_indicvoices,2.848,2.0,2.4641515
real_or_in_012,or_in,real_indicvoices,1.215,1.0,1.318519
real_or_in_013,or_in,real_indicvoices,4.19,3.0,2.9709320000000004
real_or_in_014,or_in,real_indicvoices,3.328,3.0,1.7106265
real_or_in_015,or_in,real_indicvoices,1.216,1.0,1.216
real_or_in_016,or_in,real_indicvoices,1.312,1.0,1.312
real_or_in_017,or_in,real_indicvoices,1.121,1.0,1.121
real_or_in_018,or_in,real_indicvoices,1.215,1.0,1.215
real_or_in_019,or_in,real_indicvoices,7.358,4.0,4.6285235
real_or_in_020,or_in,real_indicvoices,1.023,1.0,1.023
real_or_in_021,or_in,real_indicvoices,10.433,6.5,6.558344
real_or_in_022,or_in,real_indicvoices,1.119,1.0,1.119
real_or_in_023,or_in,real_indicvoices,6.1120625,4.0,3.2480035
real_or_in_024,or_in,real_indicvoices,4.19,3.5,3.0071180000000006
real_as_in_000,as_in,real_indicvoices,4.575,1.0,3.830401
real_as_in_001,as_in,real_indicvoices,10.191,12.5,6.741269000000001
real_as_in_002,as_in,real_indicvoices,3.52,3.5,2.9087354999999997
real_as_in_003,as_in,real_indicvoices,13.119,8.0,6.738526500000001
real_as_in_004,as_in,real_indicvoices,2.368,1.5,2.174932
real_as_in_005,as_in,real_indicvoices,14.689,5.0,11.246399499999999
real_as_in_006,as_in,real_indicvoices,13.427,5.5,8.6574925
real_as_in_007,as_in,real_indicvoices,7.395,3.0,4.7852
real_as_in_008,as_in,real_indicvoices,10.283,3.5,4.0520385
real_ne_np_000,ne_np,real_indicvoices,5.423,2.0,4.245875
real_ne_np_001,ne_np,real_indicvoices,10.516,5.5,9.096419999999998
real_ne_np_002,ne_np,real_indicvoices,19.263,6.0,17.744706500000003
real_ne_np_003,ne_np,real_indicvoices,5.823,2.0,4.9053255
real_ne_np_004,ne_np,real_indicvoices,6.496,3.0,4.813761500000001
real_ne_np_006,ne_np,real_indicvoices,1.311,2.0,2.2233359999999998
real_ne_np_007,ne_np,real_indicvoices,6.592,3.0,5.2476745000000005
real_ne_np_008,ne_np,real_indicvoices,7.743,4.0,4.8641015
real_ne_np_009,ne_np,real_indicvoices,4.287,3.0,3.0047245
real_ne_np_010,ne_np,real_indicvoices,2.847,2.0,2.2319255
real_ne_np_011,ne_np,real_indicvoices,1.312,1.0,1.312
real_ur_pk_000,ur_pk,real_indicvoices,13.31,5.0,9.6452545
real_ur_pk_001,ur_pk,real_indicvoices,10.24,4.0,8.964904
real_ur_pk_002,ur_pk,real_indicvoices,5.823,2.0,5.320334500000001
real_ur_pk_003,ur_pk,real_indicvoices,11.201,3.0,10.3059265
real_ur_pk_004,ur_pk,real_indicvoices,10.421,3.0,9.5989645
real_ur_pk_005,ur_pk,real_indicvoices,16.034,5.0,14.4165645
real_ur_pk_006,ur_pk,real_indicvoices,8.033,3.5,6.772031999999999
real_ta_in_000,ta_in,real_indicvoices,9.184,2.5,8.6636315
real_ta_in_001,ta_in,real_indicvoices,9.089,2.5,8.5578015
real_ta_in_002,ta_in,real_indicvoices,10.814,3.0,9.648436
real_ta_in_003,ta_in,real_indicvoices,10.387,4.0,8.773649500000001
real_ta_in_004,ta_in,real_indicvoices,15.708,5.0,14.130512000000001
real_ta_in_005,ta_in,real_indicvoices,3.807,1.0,3.7782885
real_ta_in_006,ta_in,real_indicvoices,7.167,1.5,7.015445
real_ta_in_007,ta_in,real_indicvoices,7.17,1.5,7.0209215
real_ta_in_008,ta_in,real_indicvoices,5.344,1.5,5.226715500000001
real_ml_in_000,ml_in,real_indicvoices,3.863,3.0,3.3593
real_ml_in_001,ml_in,real_indicvoices,6.399,3.0,5.506101
real_ml_in_002,ml_in,real_indicvoices,1.984,1.0,1.984
real_ml_in_003,ml_in,real_indicvoices,5.247,2.0,4.540439
real_ml_in_004,ml_in,real_indicvoices,3.424,2.0,2.8349005
real_ml_in_005,ml_in,real_indicvoices,7.168,5.0,4.741574
real_ml_in_006,ml_in,real_indicvoices,12.257,6.5,9.6004045
real_ml_in_007,ml_in,real_indicvoices,13.024,5.0,10.632789499999998
real_ml_in_008,ml_in,real_indicvoices,7.938,3.5,5.123709
real_ml_in_009,ml_in,real_indicvoices,12.354,5.5,9.3618335
real_ml_in_010,ml_in,real_indicvoices,8.512,4.0,7.1458905
real_te_in_000,te_in,real_indicvoices,4.649,5.0,3.4663415000000004
real_te_in_001,te_in,real_indicvoices,2.753,2.0,1.7930045000000001
real_te_in_002,te_in,real_indicvoices,1.121,1.0,1.121
real_te_in_003,te_in,real_indicvoices,3.327,2.5,2.700084
real_te_in_004,te_in,real_indicvoices,5.536,2.0,5.0318915
real_te_in_005,te_in,real_indicvoices,3.904,1.5,3.6992655
real_te_in_006,te_in,real_indicvoices,1.217,1.0,1.217
real_te_in_007,te_in,real_indicvoices,8.512,3.5,7.032818000000001
real_te_in_008,te_in,real_indicvoices,1.505,1.0,1.505
real_te_in_010,te_in,real_indicvoices,2.369,2.5,1.7516925000000003
real_te_in_011,te_in,real_indicvoices,1.598,1.0,1.598
real_te_in_012,te_in,real_indicvoices,3.634,2.0,3.3231395
real_te_in_013,te_in,real_indicvoices,1.696,1.0,1.696
real_te_in_014,te_in,real_indicvoices,2.657,1.0,2.657
real_te_in_015,te_in,real_indicvoices,7.745,2.0,6.7992915
real_te_in_016,te_in,real_indicvoices,1.47,2.0,1.191044
real_te_in_017,te_in,real_indicvoices,1.504,1.0,1.4012289999999998
real_te_in_018,te_in,real_indicvoices,3.426,1.0,3.426
real_te_in_019,te_in,real_indicvoices,1.346,1.5,1.5153475000000003
real_te_in_020,te_in,real_indicvoices,2.464,1.5,2.192712
real_te_in_021,te_in,real_indicvoices,1.792,2.0,0.6081894999999999
real_te_in_022,te_in,real_indicvoices,3.232,1.5,2.9290175
real_te_in_023,te_in,real_indicvoices,6.303,3.0,5.742240000000001
real_kn_in_000,kn_in,real_indicvoices,20.0,7.0,7.016311999999997
real_kn_in_001,kn_in,real_indicvoices,1.189,1.0,1.1381815
real_kn_in_002,kn_in,real_indicvoices,3.453,2.0,2.2074075
real_kn_in_004,kn_in,real_indicvoices,15.491,7.0,11.549571499999999
real_kn_in_005,kn_in,real_indicvoices,1.387,1.0,1.3164865
real_kn_in_006,kn_in,real_indicvoices,1.708,1.0,1.6548764999999999
real_kn_in_007,kn_in,real_indicvoices,1.119,1.5,0.6953469999999999
real_kn_in_008,kn_in,real_indicvoices,5.736,1.0,5.736
real_kn_in_009,kn_in,real_indicvoices,2.184,1.5,2.0744375
real_kn_in_010,kn_in,real_indicvoices,3.834,1.5,2.311569
real_kn_in_011,kn_in,real_indicvoices,3.808,1.0,3.808
real_kn_in_012,kn_in,real_indicvoices,3.423,1.0,3.423
real_kn_in_013,kn_in,real_indicvoices,1.282,1.0,1.282
real_kn_in_014,kn_in,real_indicvoices,5.152,2.0,4.1978740000000005
